,rank,name,href,code,nowPrice,totalPrice,volume,sosok,종목토론실,종목분석,투자자별 매매동향,"뉴스,공시",공매도현황,차트,시세,종합정보,전자공시
10,11,기아,https://finance.naver.com/item/main.nhn?code=000270,r.com/item/main.nhn?code=000270,"88,400","358,341","1,482,352",코스피,https://finance.naver.com/item/main.nhn?code=000270,https://finance.naver.com/item/sise.nhn?code=000270,https://finance.naver.com/item/fchart.nhn?code=000270,https://finance.naver.com/item/frgn.nhn?code=000270,https://finance.naver.com/item/news.nhn?code=000270,https://finance.naver.com/item/coinfo.nhn?code=000270,https://finance.naver.com/item/board.nhn?code=000270,https://finance.naver.com/item/dart.nhn?code=000270,https://finance.naver.com/item/short_trade.nhn?code=000270
11,12,POSCO,https://finance.naver.com/item/main.nhn?code=005490,r.com/item/main.nhn?code=005490,"342,000","298,179","379,391",코스피,https://finance.naver.com/item/main.nhn?code=005490,https://finance.naver.com/item/sise.nhn?code=005490,https://finance.naver.com/item/fchart.nhn?code=005490,https://finance.naver.com/item/frgn.nhn?code=005490,https://finance.naver.com/item/news.nhn?code=005490,https://finance.naver.com/item/coinfo.nhn?code=005490,https://finance.naver.com/item/board.nhn?code=005490,https://finance.naver.com/item/dart.nhn?code=005490,https://finance.naver.com/item/short_trade.nhn?code=005490
12,13,현대모비스,https://finance.naver.com/item/main.nhn?code=012330,r.com/item/main.nhn?code=012330,"289,000","273,952","228,607",코스피,https://finance.naver.com/item/main.nhn?code=012330,https://finance.naver.com/item/sise.nhn?code=012330,https://finance.naver.com/item/fchart.nhn?code=012330,https://finance.naver.com/item/frgn.nhn?code=012330,https://finance.naver.com/item/news.nhn?code=012330,https://finance.naver.com/item/coinfo.nhn?code=012330,https://finance.naver.com/item/board.nhn?code=012330,https://finance.naver.com/item/dart.nhn?code=012330,https://finance.naver.com/item/short_trade.nhn?code=012330
13,14,SK이노베이션,https://finance.naver.com/item/main.nhn?code=096770,r.com/item/main.nhn?code=096770,"288,500","266,763","1,420,700",코스피,https://finance.naver.com/item/main.nhn?code=096770,https://finance.naver.com/item/sise.nhn?code=096770,https://finance.naver.com/item/fchart.nhn?code=096770,https://finance.naver.com/item/frgn.nhn?code=096770,https://finance.naver.com/item/news.nhn?code=096770,https://finance.naver.com/item/coinfo.nhn?code=096770,https://finance.naver.com/item/board.nhn?code=096770,https://finance.naver.com/item/dart.nhn?code=096770,https://finance.naver.com/item/short_trade.nhn?code=096770
14,15,LG전자,https://finance.naver.com/item/main.nhn?code=066570,r.com/item/main.nhn?code=066570,"158,500","259,382","1,015,936",코스피,https://finance.naver.com/item/main.nhn?code=066570,https://finance.naver.com/item/sise.nhn?code=066570,https://finance.naver.com/item/fchart.nhn?code=066570,https://finance.naver.com/item/frgn.nhn?code=066570,https://finance.naver.com/item/news.nhn?code=066570,https://finance.naver.com/item/coinfo.nhn?code=066570,https://finance.naver.com/item/board.nhn?code=066570,https://finance.naver.com/item/dart.nhn?code=066570,https://finance.naver.com/item/short_trade.nhn?code=066570
15,16,삼성물산,https://finance.naver.com/item/main.nhn?code=028260,r.com/item/main.nhn?code=028260,"138,000","257,904","243,383",코스피,https://finance.naver.com/item/main.nhn?code=028260,https://finance.naver.com/item/sise.nhn?code=028260,https://finance.naver.com/item/fchart.nhn?code=028260,https://finance.naver.com/item/frgn.nhn?code=028260,https://finance.naver.com/item/news.nhn?code=028260,https://finance.naver.com/item/coinfo.nhn?code=028260,https://finance.naver.com/item/board.nhn?code=028260,https://finance.naver.com/item/dart.nhn?code=028260,https://finance.naver.com/item/short_trade.nhn?code=028260
16,17,LG생활건강,https://finance.naver.com/item/main.nhn?code=051900,r.com/item/main.nhn?code=051900,"1,570,000","245,206","33,170",코스피,https://finance.naver.com/item/main.nhn?code=051900,https://finance.naver.com/item/sise.nhn?code=051900,https://finance.naver.com/item/fchart.nhn?code=051900,https://finance.naver.com/item/frgn.nhn?code=051900,https://finance.naver.com/item/news.nhn?code=051900,https://finance.naver.com/item/coinfo.nhn?code=051900,https://finance.naver.com/item/board.nhn?code=051900,https://finance.naver.com/item/dart.nhn?code=051900,https://finance.naver.com/item/short_trade.nhn?code=051900
17,18,SK텔레콤,https://finance.naver.com/item/main.nhn?code=017670,r.com/item/main.nhn?code=017670,"330,000","237,798","139,698",코스피,https://finance.naver.com/item/main.nhn?code=017670,https://finance.naver.com/item/sise.nhn?code=017670,https://finance.naver.com/item/fchart.nhn?code=017670,https://finance.naver.com/item/frgn.nhn?code=017670,https://finance.naver.com/item/news.nhn?code=017670,https://finance.naver.com/item/coinfo.nhn?code=017670,https://finance.naver.com/item/board.nhn?code=017670,https://finance.naver.com/item/dart.nhn?code=017670,https://finance.naver.com/item/short_trade.nhn?code=017670
18,19,KB금융,https://finance.naver.com/item/main.nhn?code=105560,r.com/item/main.nhn?code=105560,"55,900","232,437","943,064",코스피,https://finance.naver.com/item/main.nhn?code=105560,https://finance.naver.com/item/sise.nhn?code=105560,https://finance.naver.com/item/fchart.nhn?code=105560,https://finance.naver.com/item/frgn.nhn?code=105560,https://finance.naver.com/item/news.nhn?code=105560,https://finance.naver.com/item/coinfo.nhn?code=105560,https://finance.naver.com/item/board.nhn?code=105560,https://finance.naver.com/item/dart.nhn?code=105560,https://finance.naver.com/item/short_trade.nhn?code=105560
19,20,신한지주,https://finance.naver.com/item/main.nhn?code=055550,r.com/item/main.nhn?code=055550,"41,200","212,839","975,248",코스피,https://finance.naver.com/item/main.nhn?code=055550,https://finance.naver.com/item/sise.nhn?code=055550,https://finance.naver.com/item/fchart.nhn?code=055550,https://finance.naver.com/item/frgn.nhn?code=055550,https://finance.naver.com/item/news.nhn?code=055550,https://finance.naver.com/item/coinfo.nhn?code=055550,https://finance.naver.com/item/board.nhn?code=055550,https://finance.naver.com/item/dart.nhn?code=055550,https://finance.naver.com/item/short_trade.nhn?code=055550
20,21,SK,https://finance.naver.com/item/main.nhn?code=034730,r.com/item/main.nhn?code=034730,"287,000","201,934","151,736",코스피,https://finance.naver.com/item/main.nhn?code=034730,https://finance.naver.com/item/sise.nhn?code=034730,https://finance.naver.com/item/fchart.nhn?code=034730,https://finance.naver.com/item/frgn.nhn?code=034730,https://finance.naver.com/item/news.nhn?code=034730,https://finance.naver.com/item/coinfo.nhn?code=034730,https://finance.naver.com/item/board.nhn?code=034730,https://finance.naver.com/item/dart.nhn?code=034730,https://finance.naver.com/item/short_trade.nhn?code=034730
21,22,엔씨소프트,https://finance.naver.com/item/main.nhn?code=036570,r.com/item/main.nhn?code=036570,"853,000","187,268","39,655",코스피,https://finance.naver.com/item/main.nhn?code=036570,https://finance.naver.com/item/sise.nhn?code=036570,https://finance.naver.com/item/fchart.nhn?code=036570,https://finance.naver.com/item/frgn.nhn?code=036570,https://finance.naver.com/item/news.nhn?code=036570,https://finance.naver.com/item/coinfo.nhn?code=036570,https://finance.naver.com/item/board.nhn?code=036570,https://finance.naver.com/item/dart.nhn?code=036570,https://finance.naver.com/item/short_trade.nhn?code=036570
22,23,한국전력,https://finance.naver.com/item/main.nhn?code=015760,r.com/item/main.nhn?code=015760,"26,650","171,083","2,534,779",코스피,https://finance.naver.com/item/main.nhn?code=015760,https://finance.naver.com/item/sise.nhn?code=015760,https://finance.naver.com/item/fchart.nhn?code=015760,https://finance.naver.com/item/frgn.nhn?code=015760,https://finance.naver.com/item/news.nhn?code=015760,https://finance.naver.com/item/coinfo.nhn?code=015760,https://finance.naver.com/item/board.nhn?code=015760,https://finance.naver.com/item/dart.nhn?code=015760,https://finance.naver.com/item/short_trade.nhn?code=015760
23,24,아모레퍼시픽,https://finance.naver.com/item/main.nhn?code=090430,r.com/item/main.nhn?code=090430,"282,000","164,853","127,865",코스피,https://finance.naver.com/item/main.nhn?code=090430,https://finance.naver.com/item/sise.nhn?code=090430,https://finance.naver.com/item/fchart.nhn?code=090430,https://finance.naver.com/item/frgn.nhn?code=090430,https://finance.naver.com/item/news.nhn?code=090430,https://finance.naver.com/item/coinfo.nhn?code=090430,https://finance.naver.com/item/board.nhn?code=090430,https://finance.naver.com/item/dart.nhn?code=090430,https://finance.naver.com/item/short_trade.nhn?code=090430
24,25,삼성생명,https://finance.naver.com/item/main.nhn?code=032830,r.com/item/main.nhn?code=032830,"80,500","161,000","329,322",코스피,https://finance.naver.com/item/main.nhn?code=032830,https://finance.naver.com/item/sise.nhn?code=032830,https://finance.naver.com/item/fchart.nhn?code=032830,https://finance.naver.com/item/frgn.nhn?code=032830,https://finance.naver.com/item/news.nhn?code=032830,https://finance.naver.com/item/coinfo.nhn?code=032830,https://finance.naver.com/item/board.nhn?code=032830,https://finance.naver.com/item/dart.nhn?code=032830,https://finance.naver.com/item/short_trade.nhn?code=032830
25,26,LG,https://finance.naver.com/item/main.nhn?code=003550,r.com/item/main.nhn?code=003550,"99,100","155,885","270,361",코스피,https://finance.naver.com/item/main.nhn?code=003550,https://finance.naver.com/item/sise.nhn?code=003550,https://finance.naver.com/item/fchart.nhn?code=003550,https://finance.naver.com/item/frgn.nhn?code=003550,https://finance.naver.com/item/news.nhn?code=003550,https://finance.naver.com/item/coinfo.nhn?code=003550,https://finance.naver.com/item/board.nhn?code=003550,https://finance.naver.com/item/dart.nhn?code=003550,https://finance.naver.com/item/short_trade.nhn?code=003550
