rank,name,href,nowPrice,marketcap,volume,sosok,종목토론실,종목분석,공매도현황,시세,종합정보,투자자별 매매동향,뉴스·공시,차트,전자공시,ETF분석
64,SKC,https://finance.naver.com/item/main.nhn?code=011790,"144,500","54,720","300,708",코스피,https://finance.naver.com/item/board.nhn?code=011790,https://finance.naver.com/item/coinfo.nhn?code=011790,https://finance.naver.com/item/short_trade.nhn?code=011790,https://finance.naver.com/item/sise.nhn?code=011790,https://finance.naver.com/item/main.nhn?code=011790,https://finance.naver.com/item/frgn.nhn?code=011790,https://finance.naver.com/item/news.nhn?code=011790,https://finance.naver.com/item/fchart.nhn?code=011790,https://finance.naver.com/item/dart.nhn?code=011790,NaN
65,LG이노텍,https://finance.naver.com/item/main.nhn?code=011070,"226,000","53,488","172,124",코스피,https://finance.naver.com/item/board.nhn?code=011070,https://finance.naver.com/item/coinfo.nhn?code=011070,https://finance.naver.com/item/short_trade.nhn?code=011070,https://finance.naver.com/item/sise.nhn?code=011070,https://finance.naver.com/item/main.nhn?code=011070,https://finance.naver.com/item/frgn.nhn?code=011070,https://finance.naver.com/item/news.nhn?code=011070,https://finance.naver.com/item/fchart.nhn?code=011070,https://finance.naver.com/item/dart.nhn?code=011070,NaN
66,한미사이언스,https://finance.naver.com/item/main.nhn?code=008930,"72,500","48,796","374,537",코스피,https://finance.naver.com/item/board.nhn?code=008930,https://finance.naver.com/item/coinfo.nhn?code=008930,https://finance.naver.com/item/short_trade.nhn?code=008930,https://finance.naver.com/item/sise.nhn?code=008930,https://finance.naver.com/item/main.nhn?code=008930,https://finance.naver.com/item/frgn.nhn?code=008930,https://finance.naver.com/item/news.nhn?code=008930,https://finance.naver.com/item/fchart.nhn?code=008930,https://finance.naver.com/item/dart.nhn?code=008930,NaN
67,삼성엔지니어링,https://finance.naver.com/item/main.nhn?code=028050,"24,100","47,236","3,674,125",코스피,https://finance.naver.com/item/board.nhn?code=028050,https://finance.naver.com/item/coinfo.nhn?code=028050,https://finance.naver.com/item/short_trade.nhn?code=028050,https://finance.naver.com/item/sise.nhn?code=028050,https://finance.naver.com/item/main.nhn?code=028050,https://finance.naver.com/item/frgn.nhn?code=028050,https://finance.naver.com/item/news.nhn?code=028050,https://finance.naver.com/item/fchart.nhn?code=028050,https://finance.naver.com/item/dart.nhn?code=028050,NaN
68,오리온,https://finance.naver.com/item/main.nhn?code=271560,"118,500","46,850","87,926",코스피,https://finance.naver.com/item/board.nhn?code=271560,https://finance.naver.com/item/coinfo.nhn?code=271560,https://finance.naver.com/item/short_trade.nhn?code=271560,https://finance.naver.com/item/sise.nhn?code=271560,https://finance.naver.com/item/main.nhn?code=271560,https://finance.naver.com/item/frgn.nhn?code=271560,https://finance.naver.com/item/news.nhn?code=271560,https://finance.naver.com/item/fchart.nhn?code=271560,https://finance.naver.com/item/dart.nhn?code=271560,NaN
69,맥쿼리인프라,https://finance.naver.com/item/main.nhn?code=088980,"12,500","46,524","1,755,825",코스피,https://finance.naver.com/item/board.nhn?code=088980,https://finance.naver.com/item/coinfo.nhn?code=088980,https://finance.naver.com/item/short_trade.nhn?code=088980,https://finance.naver.com/item/sise.nhn?code=088980,https://finance.naver.com/item/main.nhn?code=088980,https://finance.naver.com/item/frgn.nhn?code=088980,https://finance.naver.com/item/news.nhn?code=088980,https://finance.naver.com/item/fchart.nhn?code=088980,https://finance.naver.com/item/dart.nhn?code=088980,NaN
70,한진칼,https://finance.naver.com/item/main.nhn?code=180640,"69,000","45,813","193,128",코스피,https://finance.naver.com/item/board.nhn?code=180640,https://finance.naver.com/item/coinfo.nhn?code=180640,https://finance.naver.com/item/short_trade.nhn?code=180640,https://finance.naver.com/item/sise.nhn?code=180640,https://finance.naver.com/item/main.nhn?code=180640,https://finance.naver.com/item/frgn.nhn?code=180640,https://finance.naver.com/item/news.nhn?code=180640,https://finance.naver.com/item/fchart.nhn?code=180640,https://finance.naver.com/item/dart.nhn?code=180640,NaN
71,두산밥캣,https://finance.naver.com/item/main.nhn?code=241560,"45,300","45,413","681,000",코스피,https://finance.naver.com/item/board.nhn?code=241560,https://finance.naver.com/item/coinfo.nhn?code=241560,https://finance.naver.com/item/short_trade.nhn?code=241560,https://finance.naver.com/item/sise.nhn?code=241560,https://finance.naver.com/item/main.nhn?code=241560,https://finance.naver.com/item/frgn.nhn?code=241560,https://finance.naver.com/item/news.nhn?code=241560,https://finance.naver.com/item/fchart.nhn?code=241560,https://finance.naver.com/item/dart.nhn?code=241560,NaN
72,이마트,https://finance.naver.com/item/main.nhn?code=139480,"159,500","44,462","227,878",코스피,https://finance.naver.com/item/board.nhn?code=139480,https://finance.naver.com/item/coinfo.nhn?code=139480,https://finance.naver.com/item/short_trade.nhn?code=139480,https://finance.naver.com/item/sise.nhn?code=139480,https://finance.naver.com/item/main.nhn?code=139480,https://finance.naver.com/item/frgn.nhn?code=139480,https://finance.naver.com/item/news.nhn?code=139480,https://finance.naver.com/item/fchart.nhn?code=139480,https://finance.naver.com/item/dart.nhn?code=139480,NaN
73,유한양행,https://finance.naver.com/item/main.nhn?code=000100,"63,200","44,223","267,669",코스피,https://finance.naver.com/item/board.nhn?code=000100,https://finance.naver.com/item/coinfo.nhn?code=000100,https://finance.naver.com/item/short_trade.nhn?code=000100,https://finance.naver.com/item/sise.nhn?code=000100,https://finance.naver.com/item/main.nhn?code=000100,https://finance.naver.com/item/frgn.nhn?code=000100,https://finance.naver.com/item/news.nhn?code=000100,https://finance.naver.com/item/fchart.nhn?code=000100,https://finance.naver.com/item/dart.nhn?code=000100,NaN
