순위,주식명,href,현재가,시가총액,거래량,PER,미래 PER,동일업종PER,시가배당률,PRB,당기순이익2017,당기순이익2018,당기순이익2019,당기순이익2020,부채비율2017,부채비율2018,부채비율2019,부채비율2020,당좌비율2017,당좌비율2018,당좌비율2019,당좌비율2020,유보율2017,유보율2018,유보율2019,유보율2020,sosok
23,LG,https://finance.naver.com/item/main.nhn?code=003550,"105,500","165,953","192,654",10.5,8.14,17.34,2.86,0.76,18829.0,11068.0,15407.0,22005.0,25.72,17.95,16.4,nan,141.05,157.69,206.35,nan,1980.32,2054.04,2245.62,nan,코스피
24,삼성생명,https://finance.naver.com/item/main.nhn?code=032830,"79,400","158,800","237,278",12.5,8.67,7.24,3.16,0.34,17337.0,10517.0,13705.0,18826.0,848.77,738.14,671.76,nan,nan,nan,nan,nan,32515.83,39326.77,45621.0,nan,코스피
25,한국전력,https://finance.naver.com/item/main.nhn?code=015760,"24,700","158,565","3,432,618",8.83,-17.05,9.04,4.44,0.25,-11745,-22635,20925.0,-8763.0,160.57,186.83,187.47,nan,55.46,48.79,47.34,nan,1669.80,1597.36,1657.46,nan,코스피
26,아모레퍼시픽,https://finance.naver.com/item/main.nhn?code=090430,"258,000","150,823","478,235",404.68,45.61,68.18,0.39,3.16,3348.0,2238.0,219.0,3754.0,20.8,33.12,27.72,nan,148.57,113.73,128.87,nan,12885.28,13322.35,13246.89,nan,코스피
27,삼성에스디에스,https://finance.naver.com/item/main.nhn?code=018260,"187,000","144,696","100,303",31.15,19.4,21.84,1.34,2.07,6388.0,7504.0,4529.0,7533.0,30.34,34.14,33.47,nan,372.3,371.27,380.96,nan,15816.46,17320.14,17986.52,nan,코스피
28,HMM,https://finance.naver.com/item/main.nhn?code=011200,"41,750","144,201","7,302,887",36.32,4.09,41.57,nan,2.70,-7906,-5898,1240,38825,296.42,556.71,455.11,nan,143.38,74.22,65.90,nan,-125.30,-180.13,-176.08,nan,코스피
29,하나금융지주,https://finance.naver.com/item/main.nhn?code=086790,"46,100","138,412","876,400",3.93,4.47,5.29,5.36,0.33,22752.0,24256.0,26849.0,30540.0,1320.25,1354.1,1356.67,nan,nan,nan,nan,nan,1705.77,1850.74,2024.97,nan,코스피
30,삼성전기,https://finance.naver.com/item/main.nhn?code=009150,"176,500","131,834","469,372",22.87,14.42,32.31,0.79,2.33,6850.0,5280.0,6238.0,9602.0,74.77,59.74,56.09,nan,95.59,109.45,135.55,nan,1088.79,1190.22,1319.18,nan,코스피
31,하이브,https://finance.naver.com/item/main.nhn?code=352820,"322,000","121,882","332,441",56.35,73.89,-20.25,nan,4.78,-705,724,871,1650,135.54,109.19,60.51,nan,122.49,161.37,424.84,nan,10878.28,20569.19,6604.12,nan,코스피
32,SK아이이테크놀로지,https://finance.naver.com/item/main.nhn?code=361610,"169,000","120,493","844,689",nan,84.16,96.89,nan,-,nan,637,882,1354,nan,97.95,64.84,nan,nan,421.50,192.77,nan,nan,1213.88,1864.26,nan,코스피
33,SK바이오사이언스,https://finance.naver.com/item/main.nhn?code=302440,"152,000","116,280","551,415",nan,33.52,105.77,nan,-,89,147,329,3325,82.44,73.58,113.14,nan,294.12,295.24,145.40,nan,2061.40,2191.45,763.90,nan,코스피
34,KT&G,https://finance.naver.com/item/main.nhn?code=033780,"84,400","115,875","370,910",9.74,9.92,10.12,5.78,1.14,9034.0,10372.0,11716.0,11584.0,24.85,23.03,26.14,nan,171.01,170.21,165.56,nan,797.9,842.76,901.98,nan,코스피
35,포스코케미칼,https://finance.naver.com/item/main.nhn?code=003670,"147,000","113,871","304,440",225.74,90.86,23.11,0.27,6.67,1328.0,1012.0,297.0,1241.0,25.0,71.93,103.99,nan,210.93,110.35,196.39,nan,2446.59,3174.65,3192.15,nan,코스피
36,S-Oil,https://finance.naver.com/item/main.nhn?code=010950,"100,500","113,146","231,796",-10.14,10.42,285.60,-,1.42,2580.0,654.0,-7961,11304.0,146.63,151.41,176.12,nan,46.84,42.32,42.71,nan,2111.25,2119.87,1841.16,nan,코스피
37,넷마블,https://finance.naver.com/item/main.nhn?code=251270,"130,500","112,169","145,823",36.05,33.81,32.04,0.58,1.99,2149,1698,3380.0,3555.0,19.37,24.91,45.53,nan,396.67,384.40,111.15,nan,54071.11,55922.53,59559.9,nan,코스피
38,대한항공,https://finance.naver.com/item/main.nhn?code=003490,"31,650","110,085","2,206,632",-17.80,-113.93,-31.99,-,1.49,-1611.0,-6228,-2300,-910,717.13,871.45,660.63,nan,37.31,32.58,36.33,nan,241.52,93.10,113.63,nan,코스피
39,두산중공업,https://finance.naver.com/item/main.nhn?code=034020,"24,850","104,987","12,327,752",-3.44,nan,-496.98,nan,1.59,-4217.0,-1044,-8384,nan,299.05,300.02,259.77,nan,68.28,51.34,58.98,nan,235.29,73.32,31.77,nan,코스피
40,삼성화재,https://finance.naver.com/item/main.nhn?code=000810,"216,500","102,567","74,485",12.56,10.63,7.00,4.69,0.49,10707.0,6456.0,7573.0,10114.0,542.03,494.72,468.68,nan,nan,nan,nan,nan,52212.98,59601.17,67008.97,nan,코스피
41,SK바이오팜,https://finance.naver.com/item/main.nhn?code=326030,"121,500","95,151","200,462",-49.10,-636.46,105.77,-,34.91,-1381,-715,-2474,-149,62.95,-1167.72,31.97,nan,262.82,63.13,582.99,nan,60.42,-162.79,862.94,nan,코스피
42,한국조선해양,https://finance.naver.com/item/main.nhn?code=009540,"132,500","93,774","265,454",-9.21,83.61,-9.26,-,0.70,-4536,2131,-8352,1461.0,88.62,93.83,103.23,nan,77.07,60.52,71.38,nan,5235.63,5274.30,5035.69,nan,코스피
43,롯데케미칼,https://finance.naver.com/item/main.nhn?code=011170,"263,000","90,144","201,587",59.7,5.3,23.11,1.3,0.74,16419.0,7567.0,1753.0,18066.0,53.56,42.62,41.38,nan,159.02,169.05,161.71,nan,7390.44,7608.48,7560.76,nan,코스피
44,한온시스템,https://finance.naver.com/item/main.nhn?code=018880,"16,850","89,945","2,464,822",78.59,26.14,28.93,1.97,4.1,2837.0,3226.0,1135.0,3513.0,151.25,202.99,248.63,nan,125.1,109.83,103.8,nan,4042.99,4305.47,4208.38,nan,코스피
45,한화솔루션,https://finance.naver.com/item/main.nhn?code=009830,"45,450","86,936","2,218,360",25.19,8.9,23.11,-,1.31,1604.0,-2489.0,3017,9840.0,144.6,170.09,153.65,nan,68.24,60.12,60.31,nan,651.93,606.5,636.68,nan,코스피
46,LG디스플레이,https://finance.naver.com/item/main.nhn?code=034220,"23,900","85,518","3,028,407",-74.29,6.97,23.12,-,0.58,-1794,-28721,-706,12286.0,122.86,184.86,175.35,nan,60.59,74.42,81.02,nan,698.18,545.22,546.39,nan,코스피
47,우리금융지주,https://finance.naver.com/item/main.nhn?code=316140,"11,650","84,144","1,486,258",5.38,4.11,5.29,3.7,0.3,nan,20376.0,15152.0,21668.0,nan,1319.96,1393.24,nan,nan,nan,nan,nan,nan,605.9,640.05,nan,코스피
48,KT,https://finance.naver.com/item/main.nhn?code=030200,"32,150","83,947","746,845",9.52,9.89,11.23,5.63,0.41,7623.0,6659.0,7034.0,9573.0,118.51,127.48,116.46,nan,108.95,101.6,102.49,nan,816.18,835.75,869.01,nan,코스피
49,고려아연,https://finance.naver.com/item/main.nhn?code=010130,"435,500","82,179","22,942",13.22,12.48,15.52,3.74,1.02,5348.0,6386.0,5748.0,6570.0,13.36,14.66,19.93,nan,228.11,195.99,106.94,nan,6565.05,7046.39,7415.21,nan,코스피
50,현대글로비스,https://finance.naver.com/item/main.nhn?code=086280,"208,500","78,188","230,828",11.38,12.45,13.66,1.9,1.36,4374.0,5023.0,6061.0,6401.0,103.93,116.9,115.12,nan,122.93,113.97,133.4,nan,22778.49,24779.52,27309.02,nan,코스피
51,기업은행,https://finance.naver.com/item/main.nhn?code=024110,"10,450","77,779","836,207",4.41,4.65,5.29,5.33,0.26,17643.0,16143.0,15479.0,17845.0,1272.46,1296.65,1338.27,nan,nan,nan,nan,nan,541.21,574.73,501.03,nan,코스피
52,현대제철,https://finance.naver.com/item/main.nhn?code=004020,"54,500","72,728","1,215,808",-12.29,8.05,22.43,1.26,0.32,4080.0,256.0,-4401.0,9013.0,95.64,99.41,108.74,nan,57.43,64.58,70.69,nan,2319.31,2308.48,2224.0,nan,코스피
53,LG유플러스,https://finance.naver.com/item/main.nhn?code=032640,"15,450","67,456","1,176,050",10.99,9.91,13.44,3.83,0.7,4816.0,4388.0,4781.0,6947.0,103.4,144.11,139.83,nan,66.88,58.47,73.25,nan,166.44,175.24,186.7,nan,코스피
