순위,주식명,href,현재가,시가총액,거래량,PER,미래 PER,동일업종PER,시가배당률,PRB,당기순이익2017,당기순이익2018,당기순이익2019,당기순이익2020,부채비율2017,부채비율2018,부채비율2019,부채비율2020,당좌비율2017,당좌비율2018,당좌비율2019,당좌비율2020,유보율2017,유보율2018,유보율2019,유보율2020,sosok
103,일진머티리얼즈,https://finance.naver.com/item/main.nhn?code=020150,"71,600","33,015","374,458",54.92,48.95,32.31,0.39,3.84,413,468.0,427.0,669.0,31.00,27.16,26.64,nan,169.75,435.0,246.07,nan,2147.87,2381.14,2558.56,nan,코스피
104,롯데쇼핑,https://finance.naver.com/item/main.nhn?code=023530,"115,000","32,532","95,475",-3.69,26.75,"-1,601.84",2.73,0.3,-4650.0,-8165.0,-6866.0,1572.0,111.3,188.12,196.06,nan,62.91,55.24,54.52,nan,10297.93,9533.4,9014.76,nan,코스피
105,한화생명,https://finance.naver.com/item/main.nhn?code=088350,"3,705","32,179","2,240,389",9.01,6.47,7.24,1.23,0.14,4465.0,587.0,2412.0,3966.0,1055.63,913.7,966.93,nan,nan,nan,nan,nan,184.47,243.51,242.38,nan,코스피
106,한화시스템,https://finance.naver.com/item/main.nhn?code=272210,"16,950","32,022","1,053,151",20.4,34.14,31.08,1.33,1.85,412,729.0,936.0,783.0,131.62,148.78,160.98,nan,74.18,100.91,92.98,nan,60.88,76.01,88.01,nan,코스피
107,BGF리테일,https://finance.naver.com/item/main.nhn?code=282330,"184,500","31,889","38,092",19.09,19.12,"-1,601.84",1.77,3.36,1542.0,1514.0,1227.0,1587.0,184.2,248.93,240.28,nan,77.61,68.71,70.52,nan,2788.51,3372.48,3803.31,nan,코스피
108,두산퓨얼셀,https://finance.naver.com/item/main.nhn?code=336260,"48,400","31,699","729,434",277.51,226.74,73.37,-,8.54,nan,119,142,179.0,nan,197.27,54.17,nan,nan,146.78,105.58,nan,nan,2215.15,6157.08,nan,코스피
109,CJ,https://finance.naver.com/item/main.nhn?code=001040,"107,000","31,219","94,388",37.91,14.46,17.34,2.17,0.67,8800.0,3238.0,2040.0,4934.0,153.39,176.3,159.97,nan,58.82,62.15,73.36,nan,2741.67,2527.96,2567.7,nan,코스피
110,SK케미칼,https://finance.naver.com/item/main.nhn?code=285130,"263,500","30,965","78,819",20.37,5.75,23.11,0.51,5.37,-164.0,50.0,2552.0,6172.0,168.87,196.6,121.08,nan,42.54,51.85,51.02,nan,1020.34,1003.2,1375.17,nan,코스피
111,만도,https://finance.naver.com/item/main.nhn?code=204320,"65,900","30,945","867,231",476.93,15.5,28.93,-,1.68,1129.0,1182.0,139,2133.0,199.46,189.83,188.86,nan,90.05,100.77,102.56,nan,2732.44,2888.54,2819.81,nan,코스피
112,에스원,https://finance.naver.com/item/main.nhn?code=012750,"81,100","30,817","52,601",22.73,19.4,23.10,2.94,2.08,1030.0,1466.0,1421.0,1580.0,33.31,35.2,37.75,nan,191.37,167.09,175.04,nan,7347.08,7687.07,7984.1,nan,코스피
113,메리츠증권,https://finance.naver.com/item/main.nhn?code=008560,"4,485","30,576","1,037,820",4.74,5.14,4.58,8.73,0.56,4338.0,5546.0,5651.0,6115.0,797.23,848.18,815.62,nan,nan,nan,nan,nan,385.42,461.54,518.25,nan,코스피
114,동서,https://finance.naver.com/item/main.nhn?code=026960,"30,000","29,910","64,304",28.92,nan,15.88,2.06,2.42,1204.0,1405.0,1206.0,nan,11.01,9.42,9.2,nan,1137.01,1212.08,1261.54,nan,2350.12,2486.87,2584.24,nan,코스피
115,현대위아,https://finance.naver.com/item/main.nhn?code=011210,"107,500","29,235","1,174,622",23.86,22.41,28.93,1.31,0.46,-556.0,552.0,537.0,1252.0,134.03,119.11,118.95,nan,164.86,155.8,162.51,nan,2221.65,2243.08,2275.51,nan,코스피
116,LG화학우,https://finance.naver.com/item/main.nhn?code=051915,"377,500","29,025","9,450",125.83,19.91,23.11,2.63,3.55,15193.0,3761.0,6824.0,36024.0,67.09,95.73,120.27,nan,107.19,76.23,80.65,nan,4412.01,4362.05,4565.03,nan,코스피
117,현대차우,https://finance.naver.com/item/main.nhn?code=005385,"116,500","28,376","62,501",37.33,11.91,21.71,3.45,0.72,16450.0,31856.0,19246.0,61109.0,144.47,154.71,174.22,nan,52.21,46.57,44.87,nan,4747.59,4865.48,4909.48,nan,코스피
118,GS리테일,https://finance.naver.com/item/main.nhn?code=007070,"36,600","28,182","538,170",15.75,17.24,"-1,601.84",2.61,1.15,1323.0,1436.0,1545.0,1880.0,107.41,174.62,169.11,nan,27.61,32.46,31.42,nan,2617.34,2758.57,2908.21,nan,코스피
119,포스코인터내셔널,https://finance.naver.com/item/main.nhn?code=047050,"22,800","28,130","766,415",7.52,9.57,15.78,4.81,0.57,1157.0,2024.0,2295.0,2952.0,241.96,193.94,163.47,nan,85.77,110.09,112.89,nan,370.62,391.53,416.01,nan,코스피
120,한솔케미칼,https://finance.naver.com/item/main.nhn?code=014680,"247,500","28,055","24,272",18.09,17.4,23.11,0.92,3.94,678.0,910.0,1301.0,1699.0,77.03,80.42,60.57,nan,61.47,104.4,130.11,nan,590.15,712.46,887.81,nan,코스피
121,제일기획,https://finance.naver.com/item/main.nhn?code=030000,"24,350","28,013","286,189",15.06,16.49,20.36,4.08,2.07,1319.0,1395.0,1583.0,1730.0,143.29,135.44,120.82,nan,151.14,158.36,160.2,nan,5505.72,5735.51,6065.18,nan,코스피
122,KCC,https://finance.naver.com/item/main.nhn?code=002380,"309,500","27,504","21,354",2.94,9.17,11.87,2.89,0.31,-231.0,-2219.0,5609.0,3544.0,56.16,110.68,135.37,nan,144.21,49.48,81.43,nan,10476.26,9923.37,12809.93,nan,코스피
123,신세계,https://finance.naver.com/item/main.nhn?code=004170,"276,000","27,173","118,317",-22.78,11.24,"-1,601.84",0.63,0.68,2849.0,5931.0,-691.0,2804.0,121.93,136.05,152.49,nan,28.36,23.06,21.81,nan,5762.54,6741.18,6370.64,nan,코스피
124,OCI,https://finance.naver.com/item/main.nhn?code=010060,"113,500","27,069","380,153",-9.01,10.23,23.11,-,0.94,1038.0,-8074,-2512,2808.0,62.05,79.14,85.99,nan,134.8,148.28,141.28,nan,2604.63,1956.46,1760.59,nan,코스피
125,DB하이텍,https://finance.naver.com/item/main.nhn?code=000990,"59,400","26,373","3,249,418",13.67,12.12,16.88,0.69,2.79,868.0,1046.0,1660.0,2000.0,91.0,68.91,48.33,nan,194.0,137.87,90.75,nan,186.48,226.34,293.62,nan,코스피
126,하이트진로,https://finance.naver.com/item/main.nhn?code=000080,"37,550","26,335","511,528",26.18,22.98,19.95,2.35,2.07,223.0,-424.0,866.0,1168.0,194.92,216.58,206.98,nan,48.48,44.52,49.48,nan,240.09,202.85,214.28,nan,코스피
127,대한전선,https://finance.naver.com/item/main.nhn?code=001440,"3,065","26,251","83,671,843",396.78,nan,34.15,-,3.37,-59,-126,27,nan,264.36,295.04,233.52,nan,112.05,57.67,58.04,nan,49.40,45.19,47.09,nan,코스피
128,DL이앤씨,https://finance.naver.com/item/main.nhn?code=375500,"134,500","26,038","133,681",nan,5.14,8.84,nan,nan,nan,nan,nan,6206.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,코스피
129,현대로템,https://finance.naver.com/item/main.nhn?code=064350,"23,700","25,867","2,273,046",52.85,57.85,-496.98,-,1.38,-3080,-3557,224,404,261.21,362.61,211.81,nan,71.80,55.57,57.17,nan,146.59,59.32,73.28,nan,코스피
130,더존비즈온,https://finance.naver.com/item/main.nhn?code=012510,"82,900","25,152","69,618",57.59,41.41,44.31,0.43,8.15,425.0,510.0,579.0,639.0,53.0,100.28,100.76,nan,165.73,105.73,114.99,nan,1328.77,2392.08,2608.19,nan,코스피
131,메리츠금융지주,https://finance.naver.com/item/main.nhn?code=138040,"18,750","25,127","193,107",2.74,nan,7.00,9.17,0.39,6401.0,7871.0,9253.0,nan,857.08,935.99,911.51,nan,nan,nan,nan,nan,7559.02,8309.75,9535.09,nan,코스피
132,대웅,https://finance.naver.com/item/main.nhn?code=003090,"42,550","24,739","577,669",29.73,37.27,105.77,0.2,3.05,327.0,704.0,1184.0,689.0,65.11,64.44,64.52,nan,115.67,171.37,158.08,nan,2056.69,2212.81,2502.52,nan,코스피
133,BNK금융지주,https://finance.naver.com/item/main.nhn?code=138930,"7,560","24,641","1,085,476",3.56,3.85,5.29,5.63,0.21,5381.0,5989.0,5626.0,6721.0,1072.63,1038.62,1085.89,nan,nan,nan,nan,nan,416.99,463.39,491.12,nan,코스피
134,한샘,https://finance.naver.com/item/main.nhn?code=009240,"103,000","24,240","48,103",37.79,26.42,23.50,1.24,2.97,900.0,427.0,668.0,951.0,63.66,96.09,95.5,nan,103.99,83.34,98.71,nan,2999.76,3113.32,3299.73,nan,코스피
136,한화에어로스페이스,https://finance.naver.com/item/main.nhn?code=012450,"46,750","23,670","237,944",11.93,11.96,31.08,2.11,0.56,493,1624,1647.0,2315.0,180.63,204.99,216.58,nan,81.33,96.80,90.55,nan,667.34,710.70,750.6,nan,코스피
137,한화,https://finance.naver.com/item/main.nhn?code=000880,"31,500","23,612","623,475",12.96,5.8,7.24,2.47,0.58,7993.0,2311.0,7405.0,14944.0,900.11,898.06,933.0,nan,62.12,63.17,63.47,nan,849.07,834.76,873.37,nan,코스피
138,메리츠화재,https://finance.naver.com/item/main.nhn?code=000060,"18,550","22,376","238,489",3.88,4.67,7.00,8.77,0.64,2347.0,3013.0,4318.0,4471.0,796.93,851.25,845.16,nan,nan,nan,nan,nan,3976.72,4269.42,4429.9,nan,코스피
141,금호타이어,https://finance.naver.com/item/main.nhn?code=073240,"7,740","22,234","1,097,654",-13.11,382.63,28.93,-,0.93,-1919,-434,-829,58,214.62,203.99,229.41,nan,70.33,68.57,78.14,nan,-6.18,-10.36,-17.91,nan,코스피
142,LS,https://finance.naver.com/item/main.nhn?code=006260,"68,900","22,186","78,398",18.12,8.98,34.15,2.03,0.61,4877.0,928.0,1947.0,3147.0,140.63,152.0,162.12,nan,98.04,101.17,105.92,nan,1942.82,1934.4,1989.5,nan,코스피
143,현대해상,https://finance.naver.com/item/main.nhn?code=001450,"24,550","21,948","567,608",6.13,6.17,7.00,4.4,0.38,3735.0,2691.0,3319.0,3410.0,967.26,928.6,923.88,nan,nan,nan,nan,nan,9226.29,10074.28,10749.35,nan,코스피
144,동국제강,https://finance.naver.com/item/main.nhn?code=001230,"22,650","21,616","2,823,246",11.9,8.87,22.43,2.46,0.37,-3045,-817,695.0,2161.0,181.97,179.63,153.65,nan,39.00,40.61,39.36,nan,99.38,167.65,176.02,nan,코스피
145,효성,https://finance.naver.com/item/main.nhn?code=004800,"102,000","21,492","40,874",-30.51,7.02,17.34,6.54,0.68,34260.0,1500.0,12.0,3363.0,137.14,140.83,76.18,nan,39.19,32.58,75.71,nan,6933.49,6917.55,6769.4,nan,코스피
146,현대엘리베이,https://finance.naver.com/item/main.nhn?code=017800,"52,600","21,469","448,815",16.77,16.22,-496.98,2.02,1.61,15.0,436.0,979.0,1310.0,155.03,168.7,156.12,nan,91.41,74.18,90.8,nan,585.32,596.0,376.36,nan,코스피
147,KG동부제철,https://finance.naver.com/item/main.nhn?code=016380,"20,450","20,452","574,057",17.37,nan,22.43,0.86,1.19,-661,-335,669.0,nan,38840.82,164.80,132.11,nan,47.23,61.08,69.3,nan,-98.54,59.56,74.82,nan,코스피
148,현대백화점,https://finance.naver.com/item/main.nhn?code=069960,"86,100","20,150","108,955",23.76,10.71,"-1,601.84",1.4,0.37,2874.0,2430.0,1051.0,2457.0,44.72,53.1,73.02,nan,82.65,58.72,33.1,nan,3515.01,3641.09,3680.72,nan,코스피
149,HDC현대산업개발,https://finance.naver.com/item/main.nhn?code=294870,"30,400","20,036","772,902",7.26,5.3,8.77,2.3,0.63,2299.0,4137.0,2202.0,3674.0,163.69,97.58,122.97,nan,125.19,157.74,174.05,nan,739.87,916.87,733.14,nan,코스피
150,대웅제약,https://finance.naver.com/item/main.nhn?code=069620,"172,500","19,987","221,187",149.9,nan,105.77,0.36,3.22,-154.0,289.0,241.0,310.0,98.72,95.88,96.61,nan,88.39,132.16,107.92,nan,1793.26,1871.55,1912.21,nan,코스피
151,오뚜기,https://finance.naver.com/item/main.nhn?code=007310,"544,000","19,976","3,490",19.7,15.82,15.88,1.39,1.4,1608.0,998.0,1104.0,1296.0,61.76,59.83,62.23,nan,122.25,68.59,62.1,nan,7722.83,8116.36,8657.41,nan,코스피
152,코오롱인더,https://finance.naver.com/item/main.nhn?code=120110,"72,200","19,479","349,339",6.0,11.47,23.11,2.44,0.56,429.0,221.0,2055.0,1928.0,152.33,148.93,120.05,nan,45.47,48.64,49.98,nan,1330.71,1341.62,1459.78,nan,코스피
153,농심,https://finance.naver.com/item/main.nhn?code=004370,"318,000","19,343","38,959",12.29,18.42,15.88,1.33,0.85,843.0,711.0,1490.0,1062.0,33.44,36.7,33.02,nan,163.01,142.65,155.2,nan,6454.97,6571.96,6975.62,nan,코스피
154,한국앤컴퍼니,https://finance.naver.com/item/main.nhn?code=000240,"20,100","19,082","205,847",8.04,8.57,28.93,3.41,0.4,2184.0,1633.0,1796.0,2386.0,8.12,6.76,8.34,nan,236.22,277.77,186.27,nan,6829.65,7096.88,7397.47,nan,코스피
155,영원무역,https://finance.naver.com/item/main.nhn?code=111770,"43,000","19,054","115,022",9.51,10.52,18.09,1.58,0.76,1113.0,1743.0,1824.0,2195.0,58.67,57.67,52.37,nan,179.63,154.21,199.46,nan,6276.46,6954.16,7976.94,nan,코스피
156,한전KPS,https://finance.naver.com/item/main.nhn?code=051600,"42,300","19,035","418,315",15.35,11.79,9.04,3.86,1.27,1613.0,1533.0,871.0,1595.0,30.16,27.84,28.35,nan,229.93,305.83,268.42,nan,10846.87,11723.35,11592.87,nan,코스피
157,한전기술,https://finance.naver.com/item/main.nhn?code=052690,"49,350","18,862","1,038,154",33.84,132.24,9.04,1.58,1.36,129.0,264.0,202.0,141.0,67.21,49.37,40.32,nan,82.23,115.24,113.09,nan,6075.58,6478.92,6568.51,nan,코스피
159,효성첨단소재,https://finance.naver.com/item/main.nhn?code=298050,"412,000","18,457","71,130",8489.96,9.92,23.11,-,2.13,-237,-529,68,2052.0,443.91,524.35,523.60,nan,38.27,33.16,32.85,nan,1596.29,1264.96,1262.48,nan,코스피
160,진원생명과학,https://finance.naver.com/item/main.nhn?code=011000,"40,050","18,098","22,679,811",-44.41,nan,-133.79,nan,9.76,-119,-76,-186,nan,67.62,112.60,38.64,nan,161.36,122.94,273.70,nan,-48.68,-77.64,79.86,nan,코스피
161,프레스티지바이오파마,https://finance.naver.com/item/main.nhn?code=950210,"29,600","17,788","598,952",nan,nan,105.77,nan,-,nan,nan,-147,nan,nan,nan,14.33,nan,nan,nan,590.21,nan,nan,nan,-9.75,nan,코스피
162,아이에스동서,https://finance.naver.com/item/main.nhn?code=010780,"56,800","17,547","53,220",13.28,10.54,8.77,1.87,1.38,2438.0,743.0,1416.0,1926.0,97.03,126.44,160.53,nan,77.87,116.94,102.0,nan,6785.76,6959.62,7555.8,nan,코스피
163,에스엘,https://finance.naver.com/item/main.nhn?code=005850,"34,800","16,775","735,347",11.93,9.21,28.93,3.08,0.53,252.0,871.0,642.0,1798.0,69.18,64.91,64.12,nan,100.65,126.96,123.62,nan,5972.99,5691.15,5940.88,nan,코스피
164,LS ELECTRIC,https://finance.naver.com/item/main.nhn?code=010120,"55,500","16,650","88,184",22.22,15.77,34.15,1.74,1.31,1322.0,1030.0,855.0,1093.0,85.42,86.26,79.73,nan,154.48,155.67,196.96,nan,789.68,831.73,866.01,nan,코스피
166,DL,https://finance.naver.com/item/main.nhn?code=000210,"78,600","16,471","122,405",6.34,3.0,8.77,1.57,1.24,6781.0,7103.0,5727.0,5564.0,112.12,99.58,332.9,nan,101.55,104.08,17.22,nan,2440.21,2685.75,2917.79,nan,코스피
167,LG생활건강우,https://finance.naver.com/item/main.nhn?code=051905,"772,000","16,210","4,811",35.99,32.91,68.18,1.54,5.71,6923.0,7882.0,8131.0,9405.0,46.8,53.26,40.26,nan,79.22,79.99,79.33,nan,4132.2,4822.48,5534.21,nan,코스피
168,솔루스첨단소재,https://finance.naver.com/item/main.nhn?code=336370,"52,900","16,182","396,271",-177.77,92.07,32.31,0.02,6.72,nan,45,-110.0,218.0,nan,251.41,71.72,nan,nan,101.69,228.62,nan,nan,3323.57,7285.56,nan,코스피
169,한미반도체,https://finance.naver.com/item/main.nhn?code=042700,"32,700","16,173","381,848",18.76,22.26,16.88,2.21,3.46,493.0,193.0,501.0,736.0,14.14,17.19,27.18,nan,241.96,285.08,237.75,nan,1980.37,2019.21,2069.18,nan,코스피
170,롯데정밀화학,https://finance.naver.com/item/main.nhn?code=004000,"62,600","16,151","158,662",7.16,7.19,23.11,2.72,0.85,2149.0,1684.0,1988.0,2248.0,23.38,20.06,13.63,nan,102.22,83.06,126.15,nan,989.97,1080.74,1201.68,nan,코스피
171,지누스,https://finance.naver.com/item/main.nhn?code=013890,"100,500","15,879","38,029",32.26,16.1,23.50,0.78,3.48,436,724.0,458.0,1010.0,192.08,101.81,116.4,nan,93.76,119.75,89.79,nan,2885.15,5223.5,5885.54,nan,코스피
172,NHN,https://finance.naver.com/item/main.nhn?code=181710,"80,700","15,789","427,244",68.06,20.47,32.04,-,0.87,1047,232,280,879,37.07,36.73,38.32,nan,152.17,159.38,164.70,nan,16599.21,16742.29,17088.83,nan,코스피
173,녹십자홀딩스,https://finance.naver.com/item/main.nhn?code=005250,"33,400","15,707","121,876",12.03,nan,105.77,1.2,2.05,194.0,-305.0,1800.0,nan,80.89,84.11,93.68,nan,104.63,92.32,85.46,nan,3004.07,3024.62,3444.76,nan,코스피
174,대한유화,https://finance.naver.com/item/main.nhn?code=006650,"239,000","15,535","74,928",11.75,5.64,23.11,1.3,0.75,2574.0,1063.0,1272.0,2712.0,16.63,13.94,12.32,nan,192.21,331.19,696.86,nan,4063.24,4252.26,4534.36,nan,코스피
175,DGB금융지주,https://finance.naver.com/item/main.nhn?code=139130,"9,000","15,223","474,841",3.46,3.89,5.29,5.74,0.23,4036.0,3428.0,3768.0,4317.0,1183.98,1238.94,1277.86,nan,nan,nan,nan,nan,497.79,539.4,586.28,nan,코스피
176,종근당,https://finance.naver.com/item/main.nhn?code=185750,"133,000","15,197","122,779",28.24,20.26,105.77,0.42,4.66,417.0,530.0,904.0,834.0,65.12,68.72,71.56,nan,138.11,116.1,118.9,nan,1671.22,1766.62,1984.07,nan,코스피
177,두산,https://finance.naver.com/item/main.nhn?code=000150,"90,300","14,921","96,670",-2.03,8.36,17.34,3.82,0.56,-3405.0,4331.0,-9639.0,5312.0,304.2,327.74,290.66,nan,67.15,50.61,54.08,nan,1276.69,1602.57,1818.42,nan,코스피
180,명신산업,https://finance.naver.com/item/main.nhn?code=009900,"28,200","14,797","423,775",-19.79,nan,28.93,-,10.93,34,338,-888,nan,514.68,360.47,159.12,nan,45.38,64.88,92.64,nan,521.57,799.79,982.63,nan,코스피
182,SK네트웍스,https://finance.naver.com/item/main.nhn?code=001740,"5,830","14,469","658,483",34.95,13.33,17.34,2.47,0.52,77.0,-1226.0,421.0,1137.0,236.05,339.81,290.76,nan,53.35,38.14,51.52,nan,276.51,249.53,241.72,nan,코스피
183,부광약품,https://finance.naver.com/item/main.nhn?code=003000,"20,350","14,461","655,305",-278.15,nan,105.77,0.32,7.44,1457.0,-74.0,-101.0,nan,19.39,19.0,47.85,nan,490.02,393.85,317.78,nan,1481.63,1062.92,841.88,nan,코스피
185,JB금융지주,https://finance.naver.com/item/main.nhn?code=175330,"7,260","14,301","333,089",3.06,3.35,5.29,6.63,0.29,3210.0,3621.0,3908.0,4455.0,1252.68,1144.3,1224.83,nan,nan,nan,nan,nan,252.68,289.38,310.61,nan,코스피
186,롯데관광개발,https://finance.naver.com/item/main.nhn?code=032350,"20,500","14,202","469,131",-12.68,-18.99,-18.22,-,4.53,-1129,-147,-821,-763,80.38,88.11,430.05,nan,295.15,19.52,56.88,nan,757.26,756.57,522.22,nan,코스피
187,신세계인터내셔날,https://finance.naver.com/item/main.nhn?code=031430,"198,500","14,173","35,936",22.65,18.93,18.09,0.68,1.8,577.0,740.0,510.0,759.0,80.33,88.37,78.95,nan,68.19,51.54,53.52,nan,1424.78,1577.35,1693.33,nan,코스피
188,세방전지,https://finance.naver.com/item/main.nhn?code=004490,"100,500","14,070","111,337",14.56,nan,28.93,0.73,0.83,966.0,784.0,667.0,nan,29.06,43.23,33.28,nan,197.21,93.71,146.74,nan,14054.41,15105.26,16012.4,nan,코스피
189,LG전자우,https://finance.naver.com/item/main.nhn?code=066575,"78,600","13,508","198,708",12.4,9.39,15.13,1.96,1.57,14728.0,1799.0,20638.0,32585.0,171.84,173.12,174.79,nan,72.73,74.78,73.04,nan,1658.84,1634.72,1833.3,nan,코스피
190,솔루엠,https://finance.naver.com/item/main.nhn?code=248070,"27,100","13,497","996,222",nan,16.65,32.31,nan,-,-170,385,389,798.0,1269.68,440.89,289.41,nan,59.11,55.94,62.83,nan,42.27,248.13,518.37,nan,코스피
191,한국콜마,https://finance.naver.com/item/main.nhn?code=161890,"57,200","13,088","131,440",7.27,20.84,68.18,0.68,1.87,368.0,336.0,1606.0,741.0,169.99,183.1,149.15,nan,73.08,53.9,90.69,nan,3839.31,4022.61,5337.63,nan,코스피
192,태광산업,https://finance.naver.com/item/main.nhn?code=003240,"1,165,000","12,971","1,105",8.43,nan,23.11,0.19,0.2,2491.0,1675.0,1083.0,nan,28.46,25.07,21.74,nan,119.53,162.71,172.19,nan,56497.53,58834.95,60940.36,nan,코스피
193,이노션,https://finance.naver.com/item/main.nhn?code=214320,"64,700","12,940","29,285",18.78,16.73,20.36,3.02,1.55,924.0,946.0,843.0,996.0,134.68,165.75,160.72,nan,165.0,143.5,146.14,nan,7477.59,7879.52,8208.79,nan,코스피
194,다우기술,https://finance.naver.com/item/main.nhn?code=023590,"28,700","12,877","323,916",3.57,nan,21.84,2.28,0.6,2254.0,3959.0,6794.0,nan,692.67,828.66,1090.14,nan,10.29,2.68,7.21,nan,5216.01,5947.42,7109.14,nan,코스피
196,아시아나항공,https://finance.naver.com/item/main.nhn?code=020560,"17,200","12,799",0,-2.35,-3.26,-31.99,-,0.91,-1959,-8179,-5030,-7548,649.28,1386.69,1171.55,nan,36.75,29.29,29.32,nan,-5.98,-26.39,183.98,nan,코스피
197,롯데칠성,https://finance.naver.com/item/main.nhn?code=005300,"142,500","12,790","61,257",-77.67,18.71,19.95,2.49,0.77,-500.0,-1440.0,-168.0,806.0,167.6,165.19,165.63,nan,62.35,54.45,73.06,nan,47577.77,43011.8,39511.86,nan,코스피
198,코스맥스,https://finance.naver.com/item/main.nhn?code=192820,"125,000","12,562","64,646",46.85,19.65,68.18,nan,2.92,211.0,183.0,-291,564.0,338.93,280.56,337.31,nan,59.4,57.14,59.78,nan,5247.6,6836.86,7082.30,nan,코스피
199,티와이홀딩스,https://finance.naver.com/item/main.nhn?code=363280,"30,450","12,232","166,767",1.05,26.78,8.77,nan,0.88,nan,nan,3540,730,nan,nan,54.98,nan,nan,nan,46.45,nan,nan,nan,5571.80,nan,코스피
200,세아베스틸,https://finance.naver.com/item/main.nhn?code=001430,"33,800","12,121","1,314,173",-1.55,8.22,22.43,1.89,0.23,248.0,192.0,-2455.0,1357.0,86.41,80.37,91.42,nan,49.04,70.09,81.49,nan,708.58,702.54,585.28,nan,코스피
201,보령제약,https://finance.naver.com/item/main.nhn?code=003850,"23,200","12,092","187,852",36.01,30.16,105.77,0.48,2.78,203.0,322.0,269.0,431.0,75.72,79.4,90.42,nan,114.62,105.43,179.18,nan,1128.04,1249.52,1415.56,nan,코스피
203,영풍,https://finance.naver.com/item/main.nhn?code=000670,"638,000","11,752","2,292",7.47,5.9,-196.17,1.86,0.28,462.0,2074.0,853.0,2220.0,34.62,30.67,34.72,nan,115.0,148.17,135.71,nan,33132.32,35443.81,36410.82,nan,코스피
204,동원시스템즈,https://finance.naver.com/item/main.nhn?code=014820,"45,550","11,669","25,105",17.95,nan,14.96,1.68,1.89,636.0,468.0,616.0,nan,109.51,101.23,103.71,nan,79.88,121.99,65.39,nan,215.07,234.62,264.46,nan,코스피
205,LG상사,https://finance.naver.com/item/main.nhn?code=001120,"30,050","11,647","390,438",3.22,7.02,15.78,1.62,0.66,-360.0,-149.0,3616.0,2520.0,225.13,214.86,206.88,nan,94.27,89.52,98.61,nan,506.35,515.19,664.66,nan,코스피
207,더블유게임즈,https://finance.naver.com/item/main.nhn?code=192080,"63,000","11,576","81,692",9.82,8.7,32.04,0.58,1.51,878.0,1103.0,1248.0,1623.0,92.33,66.07,10.27,nan,64.93,204.71,395.7,nan,6059.62,7201.94,7861.02,nan,코스피
208,코리안리,https://finance.naver.com/item/main.nhn?code=003690,"9,600","11,555","385,944",6.69,nan,7.00,5.7,0.33,1029.0,1887.0,1421.0,2140.0,380.46,377.73,409.79,nan,nan,nan,nan,nan,3676.59,4042.54,4203.42,nan,코스피
210,한올바이오파마,https://finance.naver.com/item/main.nhn?code=009420,"21,450","11,206","173,284",99.12,nan,105.77,-,10.59,33,192,198,177,38.82,36.30,21.44,nan,509.61,433.13,467.11,nan,348.46,418.25,498.00,nan,코스피
211,현대건설기계,https://finance.naver.com/item/main.nhn?code=267270,"56,700","11,170","89,142",-66.86,11.73,-496.98,-,0.51,1411.0,509,85,1263.0,99.37,102.14,111.39,nan,120.96,101.33,128.42,nan,1116.74,1097.96,1089.30,nan,코스피
212,하나투어,https://finance.naver.com/item/main.nhn?code=039130,"79,900","11,137","235,626",-4.42,-13.06,-18.22,-,5.55,106.0,-120.0,-2186,-971.0,198.53,362.44,461.20,nan,104.79,90.08,92.16,nan,3952.43,3585.26,2289.26,nan,코스피
213,한일시멘트,https://finance.naver.com/item/main.nhn?code=300720,"158,500","10,978","7,179",5.85,9.12,11.87,4.86,0.54,537.0,405.0,1000.0,1286.0,57.56,55.97,76.67,nan,146.81,162.41,56.05,nan,4087.87,4182.77,3676.08,nan,코스피
214,오리온홀딩스,https://finance.naver.com/item/main.nhn?code=001800,"17,150","10,744","144,243",10.67,nan,15.88,4.92,0.4,1183.0,1564.0,2185.0,nan,36.69,30.82,28.7,nan,101.33,110.03,166.91,nan,5815.83,5921.75,6095.19,nan,코스피
215,현대홈쇼핑,https://finance.naver.com/item/main.nhn?code=057050,"89,500","10,740","17,779",8.68,6.95,18.83,2.7,0.52,1666.0,859.0,1127.0,1524.0,51.86,44.34,49.57,nan,98.98,101.03,75.83,nan,2771.35,2869.08,3017.8,nan,코스피
216,한국단자,https://finance.naver.com/item/main.nhn?code=025540,"103,000","10,727","95,508",11.21,nan,28.93,1.13,0.84,396.0,319.0,577.0,nan,24.55,24.7,28.92,nan,168.55,181.84,184.36,nan,13123.53,13584.26,14563.53,nan,코스피
218,쿠쿠홈시스,https://finance.naver.com/item/main.nhn?code=284740,"47,500","10,658","141,790",11.77,9.14,13.42,1.53,1.75,382.0,799.0,866.0,1262.0,34.98,36.86,32.1,nan,151.79,144.11,170.29,nan,16608.7,19334.86,22485.99,nan,코스피
219,CJ CGV,https://finance.naver.com/item/main.nhn?code=079160,"30,250","10,618","394,658",-1.12,-5.55,-20.25,-,6.61,-1885.0,-2391,-7516,-2258,306.01,652.62,1412.71,nan,54.66,57.82,70.74,nan,2566.82,994.32,-1857.51,nan,코스피
220,영진약품,https://finance.naver.com/item/main.nhn?code=003520,"5,800","10,608","540,713",-11046.00,nan,105.77,-,12.85,-61,50,-1,nan,75.72,73.17,64.38,nan,162.33,139.17,156.73,nan,21.87,26.58,25.14,nan,코스피
